name,lat,long,Population,Income,Gini,White %,Household size,Agriculture employ.,liters 2014,liters 2014 capita,Population served,Conservation,SPEI_3YEARS,SPI_3YEARS,lat2,long2
Fortuna,37.7814388,-122.442984,11851,21831,0.4619,82.15340478,2.846745136,2.413308341,150659418.9,12521.56074,12032,0.24,-1.918919483,-1.313618815,37.7814388,-122.442984
Fountain Valley,33.7084119,-117.9506182,55911,32494,0.4071,54.57065694,2.992613606,0.221979758,981850445.9,16577.75079,59227,0.2,-2.515664207,-1.87716596,33.7084119,-117.9506182
Fresno,36.8354582,-119.7948221,500819,20422,0.477,53.12857539,3.146579293,5.236668104,15792328483,30360.57914,520159,0.28,-2.588506482,-2.334561197,36.8354582,-119.7948221
Fullerton,33.8378838,-117.9093918,136702,27202,0.457,55.05917982,3.093785362,0.308665912,2955998917,21420.28201,138000,0.28,-2.461598955,-1.764700339,33.8378838,-117.9093918
Galt,32.8380151,-117.2024724,23997,25935,0.3768,70.18377297,3.144261006,5.826558266,584846236.5,24078.64616,24289,0.32,-2.222511536,-1.428430603,32.8380151,-117.2024724
Garden Grove,33.7455063,-117.959922,172785,22747,0.4229,43.84350493,3.763395191,0.286630456,2515806746,14211.99156,177020,0.2,-2.485979127,-1.871269041,33.7455063,-117.959922
Gilroy,37.7158413,-122.3892214,49767,27200,0.4322,68.50925312,3.42417779,6.642752757,874585497.3,16428.76862,53235,0.24,-1.993340882,-1.308211887,37.7158413,-122.3892214
Glendale,34.15013,-118.260367,193381,22633,0.4877,75.08183327,2.733145829,0.125975474,2570696626,13298.99962,193300,0.2,-2.360776212,-1.948327697,34.15013,-118.260367
Glendora,34.1344084,-117.8791047,50500,31964,0.4174,77.85148515,3.055236251,0.484631505,1260246986,24488.40887,51463,0.36,-2.43009792,-2.003756197,34.1344084,-117.8791047
Goleta,34.4451275,-119.7993478,30074,33955,0.3997,69.74795504,2.848995832,1.051379936,1397533361,16073.57855,86946,0.12,-2.291068584,-1.773187996,34.4451275,-119.7993478
Grover Beach,35.0925212,-120.5822413,13253,26108,0.423,81.59661963,2.538402605,2.281667978,139950693,10637.78451,13156,0.08,-2.647126625,-2.280100794,35.0925212,-120.5822413
Hanford,36.3284841,-119.6456951,54195,25433,0.4216,76.78199096,3.158032749,7.313675412,1929905062,33828.30959,57050,0.28,-2.451460326,-2.156432638,36.3284841,-119.6456951
Hawthorne,33.9654801,-118.3002512,85092,24829,0.4305,46.1958821,2.973269506,0.205771771,443436225.3,9958.592914,44528,0.16,-2.447432425,-1.827768786,33.9654801,-118.3002512
Hayward,37.6557643,-122.0566238,147163,27609,0.421,37.98780944,3.257404046,0.507719407,1352973018,8849.381038,152889,0.08,-2.02317171,-1.563020131,37.6557643,-122.0566238
Healdsburg,38.6120052,-122.8736501,11356,29971,0.4595,73.70553012,2.569230769,6.486170627,218799615.4,18721.62363,11687,0.24,-1.547197519,-1.382753816,38.6120052,-122.8736501
Hemet,33.7392539,-117.0501488,79986,19528,0.4407,71.97009477,2.617342932,1.498268019,448259133.9,14950.94169,29982,0.32,-2.059120099,-1.268863058,33.7392539,-117.0501488
Hollister,37.7806599,-122.2900159,35558,25852,0.3904,81.62438832,3.461643302,5.624231441,377831458.3,18394.01481,20541,0.2,-2.095193824,-1.37041184,37.7806599,-122.2900159
Huntington Beach,33.6264925,-117.9479769,193197,38709,0.4467,77.75741859,2.605278062,0.473875816,2888687889,14735.12117,196041,0.2,-2.549914043,-1.899915079,33.6264925,-117.9479769
Huntington Park,37.792033,-122.4122163,58473,16742,0.4017,72.47276521,4.04517468,0.892410342,471189535.6,7337.229412,64219,0.08,-1.972178653,-1.299284592,37.792033,-122.4122163
Imperial,37.7999474,-122.4268221,15205,29911,0.3633,80.42091417,3.337357331,2.992151733,322607997.8,17900.7878,18022,0.24,-1.962934437,-1.297673777,37.7999474,-122.4268221
Indio,33.7342277,-116.3174647,80167,22191,0.4379,57.00101039,3.28944237,2.27651127,2227715276,25197.26365,88411,0.32,-2.157750553,-0.823025687,33.7342277,-116.3174647
Inglewood,33.9121275,-118.3960602,110585,22857,0.4463,27.7352263,3.032966732,0.575512269,984379080.9,11390.90329,86418,0.12,-2.561180454,-1.818008756,33.9121275,-118.3960602
Irvine Ranch,33.6678819,-117.7664369,221266,45754,0.4498,52.21091356,2.729724395,0.298779142,6066133553,15714.31342,386026,0.16,-2.569910931,-1.788060567,33.6678819,-117.7664369
Kerman,36.7199008,-120.0965719,13856,20566,0.4078,64.37644342,4.039650146,17.89732771,403119937,28113.53212,14339,0.32,-2.707599779,-2.453033937,36.7199008,-120.0965719
Kingsburg,36.5140245,-119.5539,11507,23306,0.4425,72.30381507,3.063631523,10.13824885,362869645.5,31054.31284,11685,0.36,-2.600438042,-2.375001111,36.5140245,-119.5539
La Palma,33.0322815,-117.1858703,15697,37627,0.4134,44.42250111,3.115720524,0.226950355,203018548.9,12771.67519,15896,0.2,-2.362673025,-1.68506762,33.0322815,-117.1858703
La Verne,34.0323448,-118.1588802,31336,32452,0.4301,75.32231299,2.910915002,0.553623394,886958794.2,27521.37254,32228,0.32,-2.423394292,-1.929483257,34.0323448,-118.1588802
Lakeside,38.2611957,-120.3176838,20806,29965,0.407,91.05065846,2.959601707,0.617931678,416546351.2,11733.70003,35500,0.2,-2.369646108,-2.057638414,38.2611957,-120.3176838
Lakewood,33.789842,-118.1947262,80511,33535,0.3565,54.68321099,3.050005682,0.385534737,750067132.7,12695.57273,59081,0.2,-2.486778171,-1.813006201,33.789842,-118.1947262
Lathrop,37.7103474,-122.3981486,18630,23857,0.3474,50.91250671,4.204468517,1.730049875,452811047.3,22833.4954,19831,0.2,-1.993166457,-1.311131546,37.7103474,-122.3981486
Lemoore,37.7874848,-122.295318,24616,26723,0.4377,70.01949951,3.049554014,6.144437973,903994367.3,35757.85639,25281,0.32,-2.084050942,-1.352326283,37.7874848,-122.295318
Lincoln,37.7661463,-122.4602632,43467,33535,0.374,83.92803736,2.618493976,0.347567031,1122575443,24490.59588,45837,0.32,-1.886002931,-1.311884885,37.7661463,-122.4602632
Linda,33.8931515,-117.7546316,18442,17436,0.4028,61.47380978,3.194526243,8.211473566,369778023.4,19660.67755,18808,0.32,-2.363619585,-1.789670491,33.8931515,-117.7546316
Livingston,37.386883,-120.723533,13301,18447,0.3532,43.14713179,4.47694379,19.09638554,787521009,52860.85441,14898,0.32,-2.353052961,-1.872318864,37.386883,-120.723533
Lomita,34.1317986,-117.3662913,20398,29208,0.4507,62.58456711,2.561919116,0.81795701,228366572.3,11159.97519,20463,0.2,-2.153351644,-1.612895311,34.1317986,-117.3662913
Lompoc,34.6390421,-120.4572755,42691,23165,0.4324,66.11229533,3.216379116,7.768079801,437593689,10534.01914,41541,0.12,-2.368207331,-2.131905527,34.6390421,-120.4572755
Long Beach,33.7726243,-118.1641161,465424,25497,0.4756,52.77531885,2.840323929,0.481786684,5729516735,12086.4406,474045,0.16,-2.448243903,-1.792906715,33.7726243,-118.1641161
Los Angeles,34.0329456,-118.2576808,3827261,22717,0.5257,52.4148732,2.897333,0.462933171,56128294838,13988.32871,4012509,0.16,-2.388762303,-1.921825251,34.0329456,-118.2576808
Los Banos,37.060924,-120.847906,36219,19803,0.4369,79.05795301,3.567671395,6.673926571,926642490.5,24931.19055,37168,0.28,-2.418834899,-2.098116198,37.060924,-120.847906
Lynwood,32.9993701,-117.2684923,70257,17341,0.4083,36.41914685,4.589261219,0.572308178,609919082.9,9246.101462,65965,0.16,-2.366736925,-1.527070418,32.9993701,-117.2684923
Madera,37.7558533,-122.3988025,61899,18698,0.4092,81.02231054,3.824703411,29.64642684,1297900610,20292.06251,63961,0.28,-1.971642387,-1.317458263,37.7558533,-122.3988025
Madera,36.962843,-120.0694196,61899,18698,0.4092,81.02231054,3.824703411,29.64642684,468418140.5,32697.06411,14326,0.36,-2.59614637,-2.364277945,36.962843,-120.0694196
Manhattan Beach,33.8808173,-118.396067,35324,67668,0.4906,82.753935,2.512375533,0.139703828,491665311.2,13658.88741,35996,0.2,-2.606302005,-1.84875889,33.8808173,-118.396067
Manteca,37.7915149,-121.2031281,69168,26984,0.3797,71.98270877,3.101843132,2.109415195,1559510470,20715.58235,75282,0.32,-2.03414222,-1.167681753,37.7915149,-121.2031281
Martinez,37.5802716,-121.9843779,36471,40226,0.3928,79.89909791,2.557932389,0.452634982,339472828.3,9596.405041,35375,0.2,-2.028027061,-1.500559971,37.5802716,-121.9843779
Menlo Park,37.4482866,-122.1743776,32450,54834,0.5056,74.58243451,2.598702651,0.062134957,325909998,20285.69638,16066,0.16,-2.21414213,-1.301998766,37.4482866,-122.1743776
Merced,37.729482,-122.4932217,79639,18568,0.4525,58.97361845,3.251367682,7.460686835,2569159487,30805.26963,83400,0.36,-1.861994498,-1.285518196,37.729482,-122.4932217
Milpitas,37.4071625,-121.9265723,67695,34266,0.3992,21.13597755,3.465318659,0.166352793,967709356,13664.93012,70817,0.12,-1.983804514,-1.252839323,37.4071625,-121.9265723
Modesto,37.6236296,-121.0808664,202629,22562,0.4548,72.32429711,2.941042426,2.434595299,6752824134,30567.38368,220916,0.36,-2.21332704,-1.492916013,37.6236296,-121.0808664
Monrovia,34.1394896,-117.995031,36806,31757,0.4284,55.81155246,2.799787007,0.326436055,756993950.9,19337.21488,39147,0.28,-2.357646071,-1.9502814,34.1394896,-117.995031
Montecito,34.4391337,-119.6327402,8992,40873,0.5664,93.49421708,2.817042607,0.389338125,519295273.5,38466.31656,13500,0.32,-2.255918378,-1.790479148,34.4391337,-119.6327402
Monterey Park,36.5969047,-121.8815953,60591,23121,0.4621,18.86583816,3.222239949,0.46537812,889950486.8,14311.79722,62183,0.2,-2.212829272,-1.642701877,36.5969047,-121.8815953
Morgan Hill,37.130501,-121.65439,38832,38180,0.445,68.35341986,3.06754088,1.256937643,790980876.1,18932.49901,41779,0.28,-1.980828106,-1.531674532,37.130501,-121.65439
Morro Bay,35.3300201,-120.8409245,10322,28758,0.417,94.51656656,2.061513881,1.252052545,123324973.9,12050.51533,10234,0.12,-2.815716425,-2.095104494,35.3300201,-120.8409245
Mountain View,37.3793234,-122.0707842,2282,19925,0.4325,84.83786153,2.232876712,0,986784367.8,12948.22684,76210,0.16,-2.092300394,-1.152060148,37.3793234,-122.0707842
Mountain View,37.3793234,-122.0707842,75477,50819,0.4589,60.45020337,2.355197054,0.328023599,986784367.8,12948.22684,76210,0.16,-2.092300394,-1.152060148,37.3793234,-122.0707842
Napa,38.3077443,-122.3026035,77698,30698,0.4236,83.82969961,2.719756371,6.08970073,1567753664,18218.88955,86051,0.2,-1.836368649,-1.203644617,38.3077443,-122.3026035
Newport Beach,33.6163598,-117.9027701,86001,54687,0.5469,86.45364589,2.24845094,0.24348559,1686846203,25473.74927,66219,0.28,-2.545088949,-1.949887784,33.6163598,-117.9027701
Norco,33.9431934,-117.5280998,27079,30411,0.3915,74.33804793,3.853016505,1.775825855,814837191.7,31471.83159,25891,0.36,-2.290856716,-1.590632895,33.9431934,-117.5280998
Norwalk,33.9157761,-118.0718412,105940,23911,0.3763,50.46818954,3.912690205,0.45570064,211755977.2,11532.9218,18361,0.2,-2.498652354,-1.872080168,33.9157761,-118.0718412
Oakdale,37.7690532,-120.8528946,20943,26016,0.4399,90.16377787,2.901898296,4.89394478,535938706.6,24377.4713,21985,0.32,-2.190995924,-1.543840068,37.7690532,-120.8528946
Oceanside,37.6717986,-122.4897067,169407,28139,0.427,66.6005537,2.87403298,1.696409199,2937533715,17160.19532,171183,0.2,-1.923634041,-1.329900694,37.6717986,-122.4897067
Ontario,34.0303845,-117.6156136,165702,22336,0.3854,58.00111043,3.660304838,1.191626409,3656036083,21661.9331,168777,0.24,-2.369431374,-1.744485155,34.0303845,-117.6156136
Orange,33.7854286,-117.8922253,137999,31518,0.4261,63.41205371,3.218785716,0.299633285,2716617364,19479.12611,139463,0.28,-2.486389707,-1.852458518,33.7854286,-117.8922253
Oxnard,34.2035685,-119.142101,199574,21218,0.4162,72.39369858,3.907545914,12.74429922,2533556529,12878.99822,196720,0.12,-2.496486987,-1.895869114,34.2035685,-119.142101
Palo Alto,37.4269784,-122.1443672,65234,64167,0.5027,65.10102094,2.487094437,0.32951058,1234492210,19168.24076,64403,0.24,-2.20548286,-1.282154614,37.4269784,-122.1443672
Paramount,33.8849558,-118.1611433,54468,20416,0.3847,37.46787104,3.939534211,0.407239819,676564032.1,12289.76825,55051,0.12,-2.514938889,-1.848690456,33.8849558,-118.1611433
Pasadena,34.1358357,-118.1431737,138004,32400,0.5008,63.70974754,2.504155326,0.276496375,3916547156,23525.34902,166482,0.28,-2.352081705,-1.946980576,34.1358357,-118.1431737
Paso Robles,35.6441264,-120.704433,30144,27815,0.4173,76.85111465,2.741859196,5.085353608,661069303.3,21709.99354,30450,0.28,-2.607522044,-1.951649451,35.6441264,-120.704433
Patterson,37.7423373,-122.4051935,20480,23757,0.3785,67.58300781,3.535301226,8.281764319,402034734.9,19059.19858,21094,0.28,-1.962275405,-1.323766603,37.7423373,-122.4051935
Perris,33.843541,-117.1923342,69743,19729,0.3746,46.06340421,4.317115444,1.371015224,184735901.5,20526.21128,9000,0.24,-1.930697012,-1.14150089,33.843541,-117.1923342
Petaluma,38.26058,-122.6468054,58357,35604,0.4047,82.59334784,2.726580386,0.845022816,955400875.2,15596.34456,61258,0.16,-1.578311669,-1.211408957,38.26058,-122.6468054
Pico Rivera,34.0079856,-118.09931,63308,22809,0.3788,53.37556075,3.810291905,0.650418387,530396597.7,13599.21537,39002,0.16,-2.423668694,-1.907999688,34.0079856,-118.09931
Pismo Beach,35.1212837,-120.6297305,7746,34746,0.4369,92.16369739,2.029342416,3.310886644,202512821.9,25761.71249,7861,0.24,-2.653207966,-2.330783755,35.1212837,-120.6297305
Pittsburg,38.027976,-121.884681,64588,25893,0.4395,38.61862885,3.293625701,0.333727317,1051663310,15890.2333,66183,0.2,-2.005574725,-1.063085576,38.027976,-121.884681
Pleasanton,37.6677665,-121.8609347,71488,52312,0.4178,65.95512534,2.871695991,0.103455411,1619815878,22168.91179,73067,0.24,-2.127730589,-1.164216068,37.6677665,-121.8609347
Pomona,34.0769084,-117.815856,150006,19963,0.4205,62.6308281,3.893529213,0.609969502,2341848996,15365.25337,152412,0.2,-2.491668675,-1.981523968,34.0769084,-117.815856
Port Hueneme,34.1495572,-119.1948873,21800,25044,0.4207,70.16972477,3.009802568,4.442667885,192953348.3,8951.674707,21555,0.08,-2.494236431,-1.896603393,34.1495572,-119.1948873
Porterville,36.0708395,-119.0164858,54534,20499,0.4432,77.01984083,3.321800573,12.97333062,1379461866,22268.78032,61946,0.32,-2.307621976,-2.163520288,36.0708395,-119.0164858
Poway,32.9540748,-117.0425639,48547,38851,0.4263,77.87298906,3.034377149,0.246808511,1186719215,24330.97994,48774,0.32,-2.196009821,-1.563827708,32.9540748,-117.0425639
Red Bluff,34.1167298,-117.4617761,14071,18078,0.4372,89.61694265,2.762811702,4.417670683,477623139.5,33931.73767,14076,0.36,-2.180931585,-1.730301222,34.1167298,-117.4617761
Redding,40.581071,-122.3908598,90370,22194,0.4427,85.91678654,2.591997705,1.476595275,3148895417,34524.7121,91207,0.36,-1.90440553,-1.334718089,40.581071,-122.3908598
Redlands,34.0677961,-117.2261733,69277,32559,0.4487,73.13249708,2.796923574,0.661297715,3677375295,47235.46337,77852,0.36,-1.994248305,-1.370815875,34.0677961,-117.2261733
Redwood City,37.780376,-122.4220851,78241,36877,0.4573,73.48321213,2.815741174,0.373574025,855613554.8,9756.585874,87696,0.08,-1.946675025,-1.3123015,37.780376,-122.4220851
Reedley,32.9655238,-117.2151151,24562,18195,0.4048,56.18842114,3.945069065,26.95324757,590524355.3,24407.88441,24194,0.24,-2.33659312,-1.55698041,32.9655238,-117.2151151
Rialto,34.0995054,-117.3766581,100479,21105,0.3886,58.37538192,4.028021648,0.300791557,1151404670,21308.1033,54036,0.28,-2.126478145,-1.517110356,34.0995054,-117.3766581
"Rio Vista, city of",38.154559,-121.6923665,7451,27654,0.4241,75.39927527,2.062846069,4.777594728,254292657.8,30549.33419,8324,0.36,-2.249706454,-1.452244863,38.154559,-121.6923665
Ripon,37.7425865,-121.1196613,14467,39386,0.4126,87.24683763,2.938058489,2.096370463,526751510.4,35316.89644,14915,0.36,-2.12453567,-1.326115917,37.7425865,-121.1196613
Riverbank,38.5962843,-121.5444186,22977,23445,0.3837,79.99303651,3.465088222,3.921568627,536521660.1,23028.6574,23298,0.32,-1.95673677,-1.160347467,38.5962843,-121.5444186
Riverside,33.9938466,-117.3985893,309150,23525,0.4412,66.97169659,3.419498274,0.490023129,7368812266,24606.42497,299467,0.28,-2.14917764,-1.45968442,33.9938466,-117.3985893
Rohnert Park,38.3498105,-122.7080027,41039,26492,0.4051,76.59543361,2.599379275,0.999223904,598095180.4,13781.63004,43398,0.16,-1.718611262,-1.314503256,38.3498105,-122.7080027
Roseville,38.7022519,-121.330231,122039,35811,0.4096,79.58193692,2.70350679,0.095624303,3340265085,27168.55436,122946,0.28,-1.993084197,-1.57204838,38.7022519,-121.330231
Sacramento,37.794325,-122.3970721,471477,25518,0.4603,50.33182955,2.658784851,0.628504742,11572006117,24100.5636,480155,0.28,-1.993237047,-1.292135067,37.794325,-122.3970721
San Bernardino,34.0777852,-117.3709231,211528,18115,0.454,50.98521236,3.623543922,0.966587278,4479125259,22603.23702,198163,0.28,-2.127733033,-1.492019484,34.0777852,-117.3709231
San Bernardino,34.2508062,-117.328746,211528,18115,0.454,50.98521236,3.623543922,0.966587278,296726059.4,21147.89105,14031,0.32,-2.321539661,-2.054601581,34.2508062,-117.328746
San Bruno,37.6141194,-122.4149108,41581,37679,0.3914,51.30227748,2.793295714,0.2908798,322472570.9,7362.723661,43798,0.08,-2.128507172,-1.336735736,37.6141194,-122.4149108
San Buenaventura,34.2747414,-119.2721888,107551,31426,0.4216,78.28193136,2.615603492,2.154972119,1279156241,11272.28398,113478,0.16,-2.493688847,-1.949824642,34.2747414,-119.2721888
San Clemente,33.7572223,-118.2655832,63994,41620,0.4688,83.00309404,2.646129673,0.050816451,891436328.2,17492.86358,50960,0.24,-2.558739908,-1.848377462,33.7572223,-118.2655832
San Diego,32.5571394,-117.0547593,1322838,30992,0.4684,64.77240599,2.775858198,0.337648804,19005713619,14460.8219,1314290,0.16,-2.336902336,-1.590376001,32.5571394,-117.0547593
San Fernando,37.7319077,-122.4696121,23830,20879,0.3874,67.34788082,3.858484456,2.100554313,326872321.8,13824.16248,23645,0.24,-1.908165691,-1.368207081,37.7319077,-122.4696121
San Francisco,37.7803821,-122.420791,817501,37098,0.5157,50.34379163,2.36720777,0.219111515,8093969081,9560.547508,846601,0.08,-1.948506564,-1.311914217,37.7803821,-122.420791
San Jacinto,32.7024055,-117.0800046,44676,21138,0.4127,64.03214254,3.358087793,1.456117021,288845812.6,18537.14623,15582,0.32,-2.376654078,-1.53567876,32.7024055,-117.0800046
San Jose,37.338208,-121.886329,968903,32366,0.4434,45.93545484,3.15652936,0.387225488,1968414518,16741.63535,117576,0.2,-2.014225317,-1.370569912,37.338208,-121.886329
San Juan Capistrano,33.5020224,-117.6625837,35160,27253,0.5158,70.34129693,3.06458642,0.732878443,888957032.5,22766.33371,39047,0.28,-2.430393306,-1.848127923,33.5020224,-117.6625837
San Luis Obispo,35.2946358,-120.6634727,45584,18908,0.499,83.54247104,2.55029652,0.993155281,509550777.9,11125.07703,45802,0.12,-2.556497122,-2.070600714,35.2946358,-120.6634727
Sanger,36.7213887,-119.6006081,24393,18376,0.4219,65.83036117,3.683630323,12.19846202,692435231.6,26980.79924,25664,0.28,-2.618049209,-2.344188058,36.7213887,-119.6006081
Santa Ana,33.7864392,-117.8945155,328719,20035,0.4134,45.44641472,4.514068744,1.418298999,3796899551,11436.2722,332005,0.12,-2.486882776,-1.852435226,33.7864392,-117.8945155
Santa Barbara,34.4139629,-119.848947,89062,30516,0.4879,73.45220184,2.585704332,1.633660207,1211388825,13012.95318,93091,0.12,-2.502513646,-1.890169509,34.4139629,-119.848947
Santa Clara,37.7367387,-122.4660807,117817,40008,0.4235,46.41435447,2.782443379,0.243380909,1957815363,16183.90354,120973,0.16,-1.904755307,-1.357645827,37.7367387,-122.4660807
Santa Cruz,36.9636415,-122.0353876,61245,22019,0.4879,79.80569842,2.917818009,1.252476411,889571945.6,9341.888028,95224,0.08,-2.228766716,-1.801998299,36.9636415,-122.0353876
Santa Fe Springs,33.941528,-118.076333,16587,23929,0.427,52.67378067,3.537428023,0.70772474,597423925.9,32827.29413,18199,0.16,-2.463077681,-1.866300825,33.941528,-118.076333
Santa Maria,34.8762757,-120.4457325,100152,19913,0.4333,70.01258088,3.663606102,27.50287958,1439471696,14100.44077,102087,0.16,-2.794407421,-2.152265737,34.8762757,-120.4457325
Santa Monica,37.7387836,-122.4647739,90752,44936,0.5216,78.57347496,1.954219514,0.095122966,1312023984,14064.98488,93283,0.2,-1.903519614,-1.353656808,37.7387836,-122.4647739
Santa Paula,34.3497013,-119.0616822,29687,21741,0.4359,62.65031832,3.614635334,15.79497068,442128736,14733.20457,30009,0.28,-2.447310248,-1.899907431,34.3497013,-119.0616822
Santa Rosa,37.7259408,-122.4343878,169005,28726,0.4322,76.54093074,2.692663108,2.477223482,2030036495,11873.36376,170974,0.16,-1.925844079,-1.347777987,37.7259408,-122.4343878
Seal Beach,33.7494591,-118.1058393,24333,31201,0.5257,81.81481938,1.934722112,0.329191887,392246786.2,15345.51802,25561,0.08,-2.402064031,-1.792077456,33.7494591,-118.1058393
Shafter,35.5045173,-119.274344,17088,19343,0.4136,79.55290262,3.704313896,34.04433994,586738942.8,30719.31638,19100,0.36,-2.664438608,-2.229470012,35.5045173,-119.274344
Shasta Lake,34.5438771,-118.1227662,10135,21137,0.4357,85.13073508,2.543287327,2.351011482,234719425.2,22803.79143,10293,0.28,-1.965843293,-1.499850885,34.5438771,-118.1227662
Sierra Madre,34.1368613,-118.0226655,10983,47987,0.4486,76.53646545,2.413846154,0.127087872,256119882.7,23086.34241,11094,0.32,-2.396356315,-1.948476179,34.1368613,-118.0226655
Soledad,36.424687,-121.326319,26039,18492,0.3997,70.23311187,6.897748344,32.34970962,249757355.1,14929.60458,16729,0.24,-2.686737631,-2.181553522,36.424687,-121.326319
Sonoma,38.6231422,-121.451199,10710,39668,0.4721,90.86834734,2.115346632,2.062929777,228070537,19696.91139,11579,0.28,-2.027202311,-1.427038913,38.6231422,-121.451199
South Gate,33.954737,-118.212016,95000,18848,0.3984,47.51684211,4.022696477,0.356149427,880705048.2,9168.567082,96057,0.12,-2.449673571,-1.868982788,33.954737,-118.212016
South Pasadena,34.1060142,-118.1752291,25747,50755,0.4456,55.73853264,2.518783017,0.220945647,408282032.2,15764.39369,25899,0.28,-2.410015957,-1.955054287,34.1060142,-118.1752291
Stockton,37.9515221,-121.2840185,294406,20819,0.4577,44.63258222,3.257712566,3.857868943,3508888149,19734.14103,177808,0.28,-2.294586211,-1.411930623,37.9515221,-121.2840185
Sunnyvale,37.381259,-122.0285948,143315,49920,0.4113,45.66374769,2.65319535,0.123910619,1813216276,12249.14392,148028,0.16,-2.011740462,-1.067501468,37.381259,-122.0285948
Susanville,40.4193296,-120.6616015,17001,17372,0.4266,66.06081995,3.968487395,2.233375157,383443362.7,42709.21838,8978,0.36,-1.560279018,-0.701226183,40.4193296,-120.6616015
Tehachapi,35.1314495,-118.4465491,14014,20805,0.4104,85.69287855,4.240242057,1.450862305,303967823.2,34389.39056,8839,0.28,-2.447826342,-2.130079143,35.1314495,-118.4465491
Thousand Oaks,34.2024698,-118.8741429,127356,39097,0.4386,78.33396149,2.804889329,0.376190864,1135418763,22000.40232,51609,0.28,-2.469556078,-1.891639726,34.2024698,-118.8741429
Tracy,37.760587,-121.366376,83452,31890,0.3841,57.79010689,3.415963979,1.38216055,1873776466,22006.62939,85146,0.28,-2.08130285,-1.006806409,37.760587,-121.366376
Tulare,36.2153587,-119.2423946,59949,21660,0.4338,80.3649769,3.324220916,10.65535125,2045636934,32802.09312,62363,0.32,-2.523014834,-2.131197127,36.2153587,-119.2423946
Turlock,37.4841659,-120.846152,69185,22970,0.4354,80.0332442,2.970078132,5.531691985,2256900807,31706.50605,71181,0.32,-2.117577287,-1.41041959,37.4841659,-120.846152
Tustin,33.7734466,-117.86543,76497,31988,0.431,52.14975751,3.063310908,0.400697317,1148617004,16966.27776,67700,0.28,-2.485147937,-1.846280283,33.7734466,-117.86543
Ukiah,39.159548,-123.2142803,15946,20284,0.4832,76.29499561,2.682705249,3.171007928,368055660.7,22896.15308,16075,0.2,-1.750697786,-1.310340102,39.159548,-123.2142803
Upland,37.7299848,-122.4647435,74487,28798,0.4323,60.83477654,2.854126753,0.774941584,2096295398,27703.12407,75670,0.36,-1.910868881,-1.368027807,37.7299848,-122.4647435
Vacaville,38.3333033,-121.980229,93137,33950,0.3962,65.81380117,3.028944031,0.725051523,1714537839,19731.59908,86893,0.32,-2.103704654,-1.470288746,38.3333033,-121.980229
Vallejo,38.132035,-122.220784,117079,27325,0.4324,40.99197977,2.875432866,1.00536193,1793165059,14461.00854,124000,0.16,-1.708533821,-1.112101538,38.132035,-122.220784
Vernon,34.003903,-118.230073,60,18194,0.5312,23.33333333,2.857142857,2.941176471,753274181.9,6725662.339,112,0.08,-2.393584138,-1.893130657,34.003903,-118.230073
Vista,37.3540872,-120.4237926,95066,25971,0.4296,81.93255212,3.115079625,3.351216659,1952599568,15652.60263,124746,0.2,-2.532877541,-2.393164863,37.3540872,-120.4237926
Wasco,35.593061,-119.3332974,25686,15221,0.4034,78.10869734,5.090368609,38.44657288,503573429.4,19250.48471,26159,0.36,-2.848507171,-2.184706129,35.593061,-119.3332974
Watsonville,36.9175028,-121.759234,51544,18435,0.4286,68.18446376,3.736968027,22.62229496,858787608.1,13063.59403,65739,0.2,-2.352527068,-1.708349601,36.9175028,-121.759234
West Sacramento,38.5869669,-121.5224888,49061,26028,0.4353,63.40474104,2.813937482,1.507092199,1353128064,26617.51641,50836,0.28,-1.912571924,-1.095437984,38.5869669,-121.5224888
Riverside,33.9109853,-117.2899797,309150,23525,0.4412,66.97169659,3.419498274,0.490023129,2622379457,27276.95792,96139,0.32,-2.007324958,-1.410734929,33.9109853,-117.2899797
Westminster,33.7619804,-117.989546,90625,21469,0.4498,37.76993103,3.342122732,0.433477826,1339806475,14356.81271,93322,0.2,-2.466295745,-1.860684829,33.7619804,-117.989546
Whittier,37.7075843,-122.4468579,85832,30078,0.4348,57.49370864,3.155124246,0.373865053,844983454.1,16915.23109,49954,0.2,-1.950052006,-1.368384344,37.7075843,-122.4468579
Woodland,38.678516,-121.773297,55888,26798,0.4164,71.95641283,2.873862292,7.855044074,1165434959,20366.5477,57223,0.24,-2.245543498,-1.533464454,38.678516,-121.773297
Yorba Linda,33.8931515,-117.7546316,65425,48245,0.419,76.02139855,2.990173675,0.699543091,1702166030,23478.15214,72500,0.36,-2.363619585,-1.789670491,33.8931515,-117.7546316
Yreka,41.7393319,-122.6270756,7702,18305,0.5259,79.27810958,2.385997522,2.991452991,324788395.4,41427.09126,7840,0.32,-1.78819405,-0.400858056,41.7393319,-122.6270756
Yuba City,38.4986423,-121.5441793,64911,22499,0.4582,62.79983362,3.001942376,6.759669266,1741744015,25471.91411,68379,0.32,-1.954963017,-1.009896747,38.4986423,-121.5441793
Yucaipa Valley,34.0023951,-117.0746817,21511,20724,0.4111,21.41694947,3.559066843,2.050433011,1332730191,29970.54491,44468,0.36,-2.06096585,-1.500901572,34.0023951,-117.0746817
